四川联通,#genre#
四川联通-央视,#genre#
CCTV1,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227479/index.m3u8
CCTV2,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227477/index.m3u8
CCTV3,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227435/index.m3u8
CCTV4,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227373/index.m3u8
CCTV5,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227491/index.m3u8
CCTV5+,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227493/index.m3u8
CCTV6,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227431/index.m3u8
CCTV7,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227429/index.m3u8
CCTV8,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227427/index.m3u8
CCTV9,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227425/index.m3u8
CCTV10,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227375/index.m3u8
CCTV11,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227922/index.m3u8
CCTV12,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227377/index.m3u8
CCTV13,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227926/index.m3u8
CCTV14,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227379/index.m3u8
CCTV15,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227933/index.m3u8
CCTV17,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227577/index.m3u8
CGTN,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221228075/index.m3u8
四川联通-卫视,#genre#
安徽卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227363/index.m3u8
北京卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227397/index.m3u8
重庆卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227359/index.m3u8
东方卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227401/index.m3u8
甘肃卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227937/index.m3u8
广东卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227361/index.m3u8
广西卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227939/index.m3u8
贵州卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227357/index.m3u8
海南卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227946/index.m3u8
河北卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227399/index.m3u8
河南卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227923/index.m3u8
黑龙江卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227347/index.m3u8
湖北卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227367/index.m3u8
湖南卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227369/index.m3u8
吉林卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227935/index.m3u8
江苏卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227421/index.m3u8
江西卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227355/index.m3u8
辽宁卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227345/index.m3u8
内蒙古卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227181/index.m3u8
宁夏卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227119/index.m3u8
青海卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227123/index.m3u8
山东卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227365/index.m3u8
山西卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227183/index.m3u8
陕西卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221228078/index.m3u8
深圳卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227419/index.m3u8
四川卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227417/index.m3u8
天津卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227343/index.m3u8
西藏卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227131/index.m3u8
新疆卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227117/index.m3u8
云南卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227962/index.m3u8
浙江卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227351/index.m3u8
四川联通-教育,#genre#
CETV1,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227339/index.m3u8
CETV2,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227940/index.m3u8
CETV4,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221228104/index.m3u8
山东教育卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227945/index.m3u8
四川联通-地方,#genre#
东南卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227353/index.m3u8
厦门卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227938/index.m3u8
三沙卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227943/index.m3u8
延边卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227961/index.m3u8
四川经济,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227415/index.m3u8
四川文化旅游,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227413/index.m3u8
四川新闻,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227411/index.m3u8
四川影视文艺,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227409/index.m3u8
四川星空购物,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227407/index.m3u8
四川科教,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227936/index.m3u8
四川妇儿,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227405/index.m3u8
四川乡村,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227403/index.m3u8
康巴卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227629/index.m3u8
兵团卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227934/index.m3u8

通用直播,#genre#
【来源】https://github.com/xisohi/CHINA-IPTV
央视,#genre#
CCTV1,http://120.76.248.139/live/bfgd/4200000489.m3u8
CCTV1,http://120.76.248.139/live/bfgd/4200000484.m3u8
CCTV1,http://120.76.248.139/live/bfgd/4200000488.m3u8
